neighborhood,bhk,area_sqft,price_inr,age_years,amenities,listed_on
Powai,3,309.0,5208798.0,11,"Garden, Pool, Security, Parking",2024-07-26
Goregaon,2,898.0,35637698.0,6,"Security, Garden, Gym, Pool",10/05/2024
Navi Mumbai,3,669.0,8312853.0,11,Parking,2025-02-07
Thane,2,811.0,22366406.0,39,"Garden, Gym","May 31, 2024"
Thane,2,561.0,11844681.0,16,"Garden, Security",23-Feb-24
Thane,4,1323.0,13587553.0,4,"Parking, Security, Gym",2024-04-29
Andheri,2,668.0,18638205.0,13,"Parking, Pool, Garden, Security",09/06/2024
Powai,2,748.0,18029335.0,33,"Garden, Gym",11-Feb-25
Goregaon,1,1032.0,8839245.0,16,"Gym, Garden",25/04/2024
Worli,4,418.0,14931735.0,34,"Garden, Gym, Security","March 15, 2024"
Andheri,3,392.0,14274138.0,0,"Parking, Garden, Pool, Security",2024-04-22
Powai,3,1033.0,12337287.0,35,"Parking, Security, Garden, Pool","March 31, 2025"
Navi Mumbai,3,744.0,9607072.0,14,"Pool, Gym",23-Feb-25
Juhu,2,584.0,12322518.0,18,Parking,2025-02-25
Goregaon,2,1111.0,35339944.0,4,Security,13-Apr-24
Thane,2,615.0,9092710.0,18,Security,2024-12-05
Bandra,1,803.0,22386137.0,38,"Security, Garden, Pool, Parking",10/09/2024
Goregaon,2,586.0,7483552.0,4,"Parking, Pool, Gym",14-Aug-24
Borivali,4,1006.0,6396178.0,11,"Pool, Security","April 21, 2024"
Powai,1,1366.0,77503961.0,18,"Pool, Parking, Garden","April 17, 2025"
Dadar,2,250.0,15006808.0,11,Parking,08/04/2024
Navi Mumbai,2,939.0,15256376.0,35,Gym,01/06/2024
Juhu,2,1199.0,15512189.0,11,"Pool, Security, Parking, Gym","December 14, 2024"
Navi Mumbai,4,752.0,25251089.0,17,"Garden, Security",05/02/2025
Goregaon,2,504.0,13862335.0,33,Pool,2025-01-18
Dadar,2,1047.0,17711649.0,32,"Pool, Security","December 31, 2024"
Borivali,3,,5750855.0,17,"Garden, Security, Parking, Gym",03-Dec-24
Worli,2,1211.0,19586559.0,28,"Garden, Security","July 12, 2024"
Bandra,2,1028.0,9416214.0,4,Parking,05/11/2024
Dadar,2,934.0,16240935.0,24,"Garden, Parking, Security",2024-06-11
Powai,3,585.0,3878380.0,23,Garden,26-Jul-24
Thane,5,1202.0,15840932.0,28,"Security, Pool","March 20, 2025"
Borivali,3,1183.0,2827383.0,37,"Gym, Pool, Parking","June 17, 2024"
Bandra,2,501.0,9197578.0,32,"Gym, Pool",28-Apr-25
Juhu,3,,3900710.0,9,"Pool, Gym",2024-06-09
Thane,2,1128.0,15868111.0,36,"Gym, Garden, Security",08/03/2024
Goregaon,1,1208.0,11314119.0,32,"Garden, Parking, Security",15/10/2024
Dadar,2,873.0,6834730.0,22,Gym,01/02/2025
Bandra,2,599.0,25665156.0,10,"Pool, Garden",03/10/2024
Andheri,2,724.0,6337533.0,23,"Garden, Security",30-Oct-24
Worli,3,547.0,1760809.0,23,"Garden, Pool, Parking",2025-02-07
Worli,4,882.0,14771069.0,6,Garden,2025-01-18
Borivali,2,813.0,3760418.0,20,"Security, Gym, Parking","January 26, 2025"
Juhu,2,1650.0,6459059.0,19,"Gym, Security, Pool, Parking","May 14, 2024"
Borivali,1,1213.0,7957234.0,9,"Pool, Security, Gym, Parking",2024-07-13
Andheri,1,1239.0,4618607.0,24,"Garden, Security","February 04, 2025"
Powai,3,1064.0,8070802.0,35,"Pool, Garden, Gym, Parking",2024-05-07
Juhu,2,771.0,4670753.0,14,"Pool, Security, Garden, Parking",02-Feb-24
Navi Mumbai,3,803.0,11964206.0,39,"Pool, Security",24-Jun-24
Powai,2,835.0,5192640.0,39,"Pool, Parking, Security, Gym",04/04/2025
Juhu,1,,11051623.0,5,"Security, Parking, Pool, Gym",2025-03-18
Juhu,2,1036.0,21795294.0,36,"Garden, Pool, Parking",05-Jan-25
Andheri,2,900.0,17355563.0,1,"Security, Pool",2025-04-14
Goregaon,1,798.0,10334244.0,11,"Garden, Security, Pool","January 09, 2025"
Andheri,3,692.0,5996926.0,3,"Gym, Garden",2024-01-22
Juhu,1,412.0,11941213.0,22,Gym,25/08/2024
Bandra,3,1349.0,7149611.0,12,"Security, Gym, Garden",06/06/2024
Powai,2,1671.0,12245561.0,16,Security,07-Feb-24
Andheri,2,1319.0,3877995.0,30,"Pool, Gym","August 17, 2024"
Goregaon,2,459.0,17616678.0,15,"Garden, Parking, Security, Pool","December 30, 2024"
Dadar,3,1175.0,11072000.0,25,"Security, Garden",2024-02-20
Borivali,2,1258.0,40837446.0,27,Parking,"March 13, 2025"
Juhu,3,758.0,23762918.0,0,"Gym, Parking, Pool, Garden",20/09/2024
Navi Mumbai,1,1071.0,15244238.0,11,"Security, Pool",09-Oct-24
Dadar,3,740.0,10075368.0,36,"Pool, Parking, Security",27-Jan-24
Worli,2,1435.0,7005719.0,19,"Garden, Pool, Parking, Security",13-Aug-24
Thane,3,1027.0,19104712.0,1,"Garden, Parking, Security","October 03, 2024"
Goregaon,3,578.0,9457495.0,35,"Parking, Garden","October 12, 2024"
Navi Mumbai,4,1134.0,21878583.0,14,"Parking, Garden, Security",06/04/2024
Thane,2,1270.0,13804344.0,37,Garden,2024-10-10
Goregaon,1,969.0,13863891.0,21,"Parking, Garden, Gym, Security",2025-01-01
Bandra,1,1067.0,15505660.0,31,"Security, Garden",23-Mar-25
Borivali,3,875.0,6250824.0,19,"Pool, Parking",25-Apr-25
Dadar,2,503.0,5877948.0,35,"Parking, Pool","March 28, 2025"
Powai,3,846.0,5757272.0,32,"Pool, Garden, Gym",12-Nov-24
Goregaon,2,1083.0,20348101.0,14,Gym,30/10/2024
Powai,2,855.0,6153718.0,2,Pool,26/05/2024
Borivali,1,1180.0,6631252.0,28,"Gym, Parking, Security, Pool",04-Jan-24
Juhu,5,762.0,14984251.0,26,"Parking, Security, Gym, Garden",04-Feb-24
Worli,3,785.0,9330233.0,4,"Garden, Gym, Parking",10-Jul-24
Dadar,4,1190.0,8641817.0,30,Parking,18-Feb-24
Borivali,2,977.0,8203464.0,21,Garden,17-Jan-24
Borivali,3,755.0,2688842.0,34,"Parking, Garden",20/06/2024
Bandra,3,1261.0,6076085.0,6,"Pool, Security, Gym, Garden",2024-08-07
Thane,2,658.0,22052530.0,5,Parking,06/06/2024
Worli,3,645.0,7852646.0,25,Pool,21/04/2025
Dadar,4,250.0,3470142.0,0,Security,15-Feb-24
Juhu,4,706.0,5928036.0,18,"Gym, Garden, Security",2025-01-07
Juhu,3,1358.0,13469149.0,6,Gym,06-Jan-24
Andheri,2,250.0,13309928.0,35,Security,08/04/2024
Borivali,2,,9096785.0,11,"Pool, Security, Garden, Parking",2025-01-14
Goregaon,5,1053.0,7177614.0,19,Garden,"August 20, 2024"
Bandra,1,250.0,4679409.0,22,"Security, Garden, Parking, Gym",06-Feb-24
Worli,3,721.0,13536645.0,24,Garden,"October 06, 2024"
Juhu,3,1299.0,17943209.0,29,"Security, Garden, Pool, Gym","December 14, 2024"
Dadar,3,1615.0,23519208.0,28,"Parking, Pool, Garden","May 11, 2025"
Andheri,5,1001.0,5574134.0,30,"Gym, Garden","October 28, 2024"
Dadar,2,,24626011.0,17,"Parking, Pool, Gym",2024-06-29
Bandra,2,,10491047.0,18,Gym,04-Apr-24
Goregaon,1,950.0,11027946.0,3,"Gym, Pool, Parking, Security",2024-04-08
Andheri,2,998.0,18553244.0,0,"Parking, Security, Gym, Garden",06-Jul-24
Andheri,2,1550.0,7845319.0,14,"Pool, Gym",25-Apr-25
Thane,2,1239.0,2963016.0,7,Parking,25-Apr-24
Worli,3,,16566894.0,14,"Gym, Parking, Garden, Security",2024-07-09
Andheri,4,782.0,13378272.0,14,"Pool, Security, Parking",09/09/2024
Thane,2,1955.0,8743612.0,38,Garden,"April 13, 2025"
Thane,2,1119.0,15768405.0,21,Pool,19/02/2025
Bandra,4,665.0,17825955.0,17,"Security, Parking, Pool, Gym",15/04/2025
Powai,1,821.0,4381038.0,15,Garden,09/06/2024
Dadar,1,,11001122.0,1,"Pool, Security, Garden, Gym","September 12, 2024"
Goregaon,2,250.0,2767521.0,35,"Security, Gym",18/11/2024
Navi Mumbai,3,1009.0,10077181.0,19,"Pool, Gym, Security, Parking","May 07, 2024"
Dadar,2,1523.0,8678460.0,15,"Pool, Garden","January 18, 2024"
Andheri,5,329.0,14579769.0,2,"Gym, Garden, Pool, Parking","October 07, 2024"
Goregaon,2,919.0,5701084.0,29,Parking,04-May-25
Juhu,2,652.0,8428320.0,1,Parking,10-Aug-24
Powai,2,1082.0,1575945.0,34,"Parking, Garden, Pool, Gym",23/02/2024
Juhu,2,839.0,15165024.0,25,"Gym, Security, Garden, Pool",27-Feb-24
Juhu,3,423.0,10292850.0,4,Parking,"November 18, 2024"
Worli,3,556.0,11436778.0,1,"Pool, Garden, Gym, Security",25-Dec-24
Dadar,3,609.0,4430139.0,19,"Gym, Garden","June 22, 2024"
Navi Mumbai,3,1370.0,13781495.0,33,"Gym, Security, Garden",2024-10-06
Bandra,4,1352.0,29257597.0,33,Parking,23-Apr-24
Navi Mumbai,3,791.0,9713744.0,19,Garden,14/10/2024
Juhu,3,1329.0,16031296.0,24,Parking,2025-03-06
Andheri,1,839.0,6437349.0,19,Garden,2024-12-07
Powai,1,785.0,10364388.0,24,Security,30-May-24
Borivali,2,919.0,4330509.0,13,"Gym, Parking",25-Mar-25
Navi Mumbai,3,999.0,17415533.0,38,"Security, Pool, Gym",06/05/2024
Juhu,2,705.0,11945968.0,11,"Security, Gym, Pool, Parking",2024-06-03
Powai,2,907.0,5222194.0,4,"Parking, Garden, Gym","May 04, 2025"
Goregaon,4,,6708478.0,1,"Security, Parking, Garden, Pool",20-Jan-25
Dadar,4,945.0,11258700.0,15,Gym,2025-04-18
Thane,4,914.0,18893321.0,29,"Parking, Gym, Pool, Garden",2024-09-29
Worli,2,1072.0,26369440.0,37,"Garden, Pool","April 13, 2024"
Powai,3,1133.0,10014301.0,23,"Parking, Garden, Pool, Gym",2025-02-20
Andheri,2,878.0,4786025.0,29,Pool,27-Jan-25
Andheri,2,734.0,12523020.0,36,Security,"October 25, 2024"
Powai,2,966.0,31671553.0,38,"Pool, Security, Garden, Parking",02-Sep-24
Andheri,2,342.0,4099399.0,10,Garden,24/06/2024
Dadar,2,826.0,6121040.0,13,Pool,2024-02-08
Andheri,3,250.0,15659348.0,22,"Security, Pool",21-Apr-25
Navi Mumbai,1,313.0,11901315.0,15,"Security, Garden, Parking, Gym",18-Jun-24
Thane,3,260.0,7826204.0,20,"Parking, Security, Garden, Gym",03/09/2024
Andheri,2,1266.0,12385888.0,3,"Garden, Gym, Security",2024-01-26
Thane,2,904.0,19511744.0,32,"Pool, Parking",20-Dec-24
Juhu,2,458.0,10231668.0,13,"Garden, Pool, Gym, Security","November 01, 2024"
Bandra,2,1071.0,9707365.0,18,"Garden, Security",12-Feb-25
Dadar,3,1246.0,15454558.0,4,"Gym, Garden, Security",11-Feb-25
Bandra,2,1077.0,9227429.0,35,"Gym, Pool, Security",13-Jan-24
Juhu,2,833.0,21541980.0,30,"Garden, Pool, Parking, Security",11-Nov-24
Dadar,1,981.0,36617756.0,17,Garden,2025-01-25
Powai,2,1215.0,6351711.0,30,"Gym, Garden, Security, Parking",08-Nov-24
Powai,4,735.0,5126761.0,29,"Security, Gym, Garden, Parking",05/02/2024
Thane,2,910.0,13565380.0,20,"Pool, Security, Parking, Garden",21-Jun-24
Juhu,3,809.0,5018779.0,29,"Garden, Security","January 20, 2024"
Thane,3,335.0,4967630.0,3,"Security, Garden","November 16, 2024"
Worli,4,1220.0,3173915.0,4,"Gym, Pool, Security",20-Sep-24
Andheri,3,1620.0,8629082.0,9,Pool,08-May-25
Borivali,3,594.0,10640796.0,26,"Pool, Parking, Gym, Garden",03/02/2025
Worli,3,1236.0,7957156.0,15,"Gym, Parking",21/05/2024
Andheri,4,,24995339.0,29,"Parking, Gym, Security",2025-04-04
Dadar,2,946.0,23903426.0,12,Security,2025-01-05
Thane,2,1427.0,34528871.0,35,Pool,"April 15, 2025"
Dadar,1,717.0,11160788.0,20,"Gym, Parking",22-May-24
Dadar,3,894.0,22082399.0,39,"Garden, Security",01-Apr-24
Andheri,3,269.0,13063225.0,14,"Parking, Security, Gym",19/12/2024
Juhu,1,667.0,12299011.0,19,"Security, Garden, Parking, Gym",17/11/2024
Andheri,3,250.0,8199374.0,19,"Gym, Security",2024-10-14
Goregaon,2,1050.0,2791562.0,4,"Pool, Security, Gym",2024-08-02
Powai,1,1191.0,15908671.0,31,"Gym, Security, Garden, Pool","March 22, 2025"
Powai,5,822.0,21692600.0,5,Pool,07/12/2024
Worli,2,,4345404.0,29,"Security, Gym, Pool, Garden",20-Feb-24
Powai,1,785.0,10790545.0,25,"Pool, Garden, Parking",01/06/2024
Andheri,3,1159.0,19677537.0,36,"Garden, Parking",04/07/2024
Navi Mumbai,3,945.0,8747694.0,12,Parking,03/03/2024
Thane,1,250.0,22205758.0,28,"Garden, Gym",2024-07-08
Andheri,3,1228.0,9977371.0,4,Gym,04-May-24
Andheri,2,763.0,7920025.0,24,"Garden, Parking, Security",29-May-24
Borivali,1,,22980858.0,12,"Garden, Security",2024-11-09
Thane,2,746.0,6198065.0,23,"Gym, Parking, Security, Pool",2024-02-27
Goregaon,3,250.0,7025504.0,30,"Garden, Pool, Security",07-Dec-24
Powai,2,462.0,6341795.0,19,"Garden, Pool, Security, Parking","October 31, 2024"
Thane,4,950.0,5468106.0,7,"Garden, Security, Gym, Parking",28/06/2024
Powai,3,979.0,11897280.0,8,"Security, Garden, Gym, Parking",18-Jun-24
Worli,5,1007.0,7978327.0,20,"Pool, Garden",2024-11-21
Thane,2,901.0,14550965.0,19,"Gym, Security, Garden, Pool",27-Sep-24
Powai,5,657.0,3833220.0,14,"Pool, Parking, Security",23/02/2024
Goregaon,2,880.0,5534275.0,25,"Garden, Parking",05-May-25
Bandra,2,746.0,11194660.0,10,"Security, Gym, Garden",2025-03-19
Dadar,1,330.0,26214110.0,36,"Garden, Pool, Gym, Parking","April 10, 2024"
Dadar,1,629.0,13620701.0,10,"Parking, Garden, Pool",2025-04-25
Goregaon,3,1211.0,7620600.0,26,"Pool, Parking, Gym","September 20, 2024"
Borivali,2,1455.0,4440516.0,29,"Security, Parking",22/02/2024
Bandra,2,1127.0,7357953.0,18,"Garden, Gym",2024-02-29
Worli,3,1440.0,10580355.0,33,"Garden, Gym",06-May-25
Goregaon,2,929.0,2637613.0,37,"Gym, Garden, Pool, Security",2024-04-17
Dadar,3,1509.0,5240765.0,22,"Security, Gym, Pool, Parking",2024-01-05
Dadar,2,1619.0,6972375.0,0,"Gym, Parking, Pool, Security",12/04/2024
Dadar,3,,9300278.0,2,Pool,"July 14, 2024"
Juhu,3,977.0,10505380.0,2,"Pool, Garden, Security","September 18, 2024"
Goregaon,2,930.0,7523028.0,27,Security,30-Dec-24
mumbai,2,751.0,14702438.0,13,Pool,2025-04-24
Worli,2,1072.0,11696780.0,29,Security,06/01/2025
Dadar,3,914.0,8692421.0,4,"Parking, Security","December 15, 2024"
Powai,2,,15970682.0,14,"Parking, Garden",16-Feb-24
Goregaon,2,890.0,15205448.0,37,Gym,"December 20, 2024"
Juhu,1,,4536747.0,13,Parking,06-Nov-24
Goregaon,2,963.0,10646944.0,13,"Garden, Security","February 27, 2025"
Worli,2,,18516195.0,7,"Parking, Garden",03-Nov-24
Juhu,3,803.0,20470463.0,7,"Parking, Gym, Pool, Garden","May 23, 2024"
Worli,2,1058.0,13558786.0,18,Parking,"September 25, 2024"
Goregaon,2,476.0,9435850.0,31,"Gym, Garden",2025-01-04
Andheri,3,725.0,13975158.0,30,"Gym, Parking",03-May-24
Worli,3,864.0,17622095.0,28,"Garden, Parking, Gym, Security",15-Apr-24
Juhu,2,453.0,11634660.0,10,Pool,2024-06-06
Juhu,2,609.0,12449145.0,12,"Garden, Pool, Parking",2024-05-26
Worli,2,1009.0,9342815.0,26,Parking,"May 24, 2024"
Navi Mumbai,4,,4866711.0,18,"Pool, Parking, Security","April 29, 2024"
Goregaon,1,1182.0,9775419.0,25,"Pool, Parking, Security","November 14, 2024"
Navi Mumbai,4,689.0,7229870.0,36,"Gym, Security, Parking, Garden",2024-10-01
Borivali,3,920.0,7243733.0,8,"Garden, Security, Pool, Parking","April 01, 2024"
Goregaon,2,664.0,25656325.0,27,"Gym, Parking",2024-02-27
Worli,1,1147.0,19209863.0,31,"Pool, Parking","March 14, 2025"
Bandra,2,1316.0,3929020.0,2,"Security, Garden, Gym, Parking",2024-12-11
Worli,2,1069.0,5660783.0,31,Gym,16-Aug-24
Navi Mumbai,2,1271.0,8726394.0,4,Pool,18/04/2025
Andheri,3,911.0,7389870.0,7,"Garden, Gym","April 26, 2024"
Worli,5,1181.0,13130535.0,13,"Parking, Pool, Gym","November 13, 2024"
Worli,3,926.0,5146611.0,2,"Security, Pool, Parking, Gym",2024-10-05
Andheri,3,541.0,19290420.0,23,"Pool, Security, Gym, Parking",06-May-24
Worli,1,986.0,10570701.0,12,Security,27-Jan-25
Dadar,2,551.0,8847918.0,28,Security,"January 30, 2025"
Bandra,1,1718.0,10760670.0,7,"Security, Gym, Parking, Garden",2024-05-08
Powai,3,783.0,8448464.0,30,Parking,2024-02-27
Bandra,4,,3209464.0,25,Parking,01/05/2024
Worli,3,895.0,10931462.0,17,"Gym, Pool, Parking",01-Jan-24
Dadar,1,,8953474.0,17,Gym,26/08/2024
Goregaon,2,250.0,6121549.0,6,"Gym, Parking, Security, Garden",16-Oct-24
Worli,3,1162.0,20966949.0,37,"Parking, Garden","April 05, 2024"
Navi Mumbai,2,,16218495.0,15,"Pool, Security, Gym","May 05, 2024"
Dadar,3,642.0,46889955.0,32,Garden,2024-04-27
Andheri,3,320.0,17910489.0,2,"Gym, Parking",2024-02-17
Dadar,3,,7377453.0,37,"Security, Parking, Garden, Pool",2024-03-29
Andheri,2,572.0,6302938.0,3,"Parking, Gym",02-May-25
Borivali,2,672.0,8068004.0,35,Pool,2024-08-24
Powai,1,,7275498.0,3,"Gym, Garden, Security, Parking","January 07, 2025"
Thane,2,882.0,11585560.0,8,"Parking, Gym",19/01/2025
Dadar,2,609.0,4311177.0,39,"Parking, Security, Garden, Gym","September 28, 2024"
Juhu,3,1105.0,16004363.0,16,"Security, Parking, Garden, Pool","July 07, 2024"
Navi Mumbai,3,1133.0,11463949.0,16,"Pool, Parking, Security","May 01, 2025"
Worli,1,782.0,14938892.0,32,Parking,10/07/2024
Navi Mumbai,2,,5463019.0,19,"Pool, Security, Garden, Gym","March 22, 2025"
Bandra,2,1082.0,12584963.0,13,"Gym, Parking",09-Mar-24
Thane,2,1049.0,23664958.0,21,"Pool, Security, Garden",04-Oct-24
Bandra,3,914.0,6476531.0,26,Pool,14/12/2024
Borivali,1,1401.0,6371125.0,2,"Gym, Garden, Pool",03-Sep-24
Thane,2,1103.0,16637579.0,23,Security,2025-03-26
Thane,2,742.0,6068181.0,29,"Gym, Garden, Security",16-Mar-24
Bandra,4,744.0,9435876.0,7,"Security, Garden","June 02, 2024"
Andheri,3,704.0,26309473.0,21,"Parking, Gym",23-May-24
Bandra,2,1121.0,6425588.0,24,"Pool, Parking, Security, Garden",2025-03-10
Navi Mumbai,2,682.0,27416765.0,9,"Security, Pool",2025-04-29
Andheri,3,751.0,8873066.0,28,"Gym, Parking, Garden",2024-03-26
Navi Mumbai,5,1270.0,5538749.0,39,"Garden, Security, Pool, Parking","July 03, 2024"
Borivali,2,967.0,15591282.0,0,"Security, Pool",2024-10-11
Worli,4,1319.0,11578366.0,20,"Gym, Garden","April 06, 2025"
Goregaon,4,,10939692.0,38,"Parking, Pool, Gym, Garden",2024-08-07
Andheri,4,488.0,6843221.0,23,"Gym, Garden, Pool, Parking","March 09, 2024"
Borivali,3,864.0,11527797.0,8,"Garden, Gym","February 16, 2024"
Juhu,3,1246.0,3139021.0,25,Security,"May 11, 2025"
Borivali,2,472.0,12375866.0,8,Pool,03-Apr-24
Bandra,3,1046.0,23637607.0,19,"Gym, Parking, Garden, Pool",2024-08-25
Bandra,2,,3763059.0,34,"Parking, Garden","March 21, 2025"
Goregaon,3,285.0,8503045.0,35,"Pool, Security, Parking, Garden",2025-05-14
Borivali,2,941.0,6421846.0,35,Garden,28-Mar-25
Powai,3,606.0,4383542.0,8,"Parking, Pool",22/07/2024
Worli,3,491.0,3166937.0,21,Gym,2025-02-03
Bandra,1,903.0,5344072.0,0,Parking,2024-08-05
Goregaon,3,250.0,9384538.0,4,"Gym, Garden",18-Apr-25
Worli,2,663.0,21627630.0,8,"Gym, Garden, Pool","March 07, 2025"
Borivali,3,1792.0,4352980.0,36,"Pool, Garden",2024-12-06
Borivali,2,1127.0,12950380.0,37,"Garden, Gym, Pool, Security",08/02/2024
Thane,2,591.0,12382379.0,18,"Parking, Security, Gym",09-Apr-24
Goregaon,4,1391.0,29596829.0,7,"Security, Garden","October 15, 2024"
Bandra,2,552.0,15288613.0,31,Parking,2024-09-10
Powai,3,706.0,15825921.0,12,Parking,2024-08-09
Borivali,2,497.0,16511708.0,19,"Security, Gym, Garden",22-Dec-24
Powai,2,989.0,6233576.0,35,Gym,"January 23, 2024"
Borivali,2,,7696733.0,36,"Gym, Pool, Garden, Security","September 06, 2024"
Bandra,3,550.0,21212918.0,29,Pool,10-Jan-24
Worli,2,250.0,3170881.0,9,"Gym, Garden, Security",2024-09-02
Dadar,1,1281.0,7207361.0,30,"Garden, Gym, Parking",2024-11-20
Worli,2,1443.0,4884192.0,24,"Parking, Pool, Garden, Gym","April 09, 2024"
Borivali,1,250.0,12491343.0,28,"Pool, Parking, Security, Gym","October 16, 2024"
Navi Mumbai,5,1061.0,8427703.0,23,Pool,28/06/2024
Dadar,5,,15800976.0,38,"Gym, Pool",10/08/2024
Dadar,2,624.0,10166443.0,20,"Parking, Garden, Pool, Gym",28/01/2025
Powai,3,411.0,4292349.0,8,Gym,"September 06, 2024"
Goregaon,2,1247.0,4413062.0,1,"Pool, Garden, Security","May 26, 2024"
Powai,3,,10814203.0,3,"Gym, Pool","March 17, 2025"
Bombay,3,989.0,6833305.0,7,"Parking, Garden, Gym",2024-04-05
Navi Mumbai,4,682.0,7884581.0,31,"Security, Parking, Gym",13-Sep-24
Worli,2,619.0,19058986.0,13,"Gym, Security, Garden, Pool","November 20, 2024"
Worli,3,250.0,17114209.0,12,"Parking, Gym, Garden, Security",2025-05-07
Juhu,2,820.0,31916712.0,20,Garden,"January 04, 2024"
Borivali,5,1403.0,8977201.0,23,"Garden, Gym",16-Jan-24
Navi Mumbai,1,588.0,7387589.0,17,"Pool, Gym","October 06, 2024"
Juhu,3,367.0,13948930.0,39,"Garden, Security, Pool",2024-12-01
Bandra,3,1052.0,7752480.0,25,"Parking, Garden, Gym","September 03, 2024"
Borivali,3,1117.0,7906244.0,31,"Gym, Pool, Garden, Parking","September 14, 2024"
Borivali,1,694.0,9614078.0,32,"Security, Pool","May 11, 2025"
Thane,4,777.0,29257584.0,30,Gym,20/04/2025
Thane,2,992.0,16557993.0,17,"Parking, Pool, Security, Gym","January 18, 2025"
Andheri,3,845.0,17633168.0,34,Parking,2024-06-08
Andheri,2,1250.0,28479999.0,11,"Parking, Gym",2025-04-19
Powai,2,1753.0,18653042.0,24,Gym,2024-12-05
Bandra,2,301.0,5504941.0,30,"Gym, Parking","May 31, 2024"
Dadar,2,1330.0,18484247.0,9,Pool,30-Jan-25
Dadar,2,936.0,19946274.0,33,"Security, Garden",2024-06-26
Thane,2,1385.0,16048387.0,2,"Garden, Pool",11/06/2024
Thane,2,,9652571.0,38,Garden,14-Jan-25
Thane,3,,15063709.0,7,Pool,2024-02-02
Navi Mumbai,4,1166.0,10722514.0,31,"Security, Pool","February 20, 2025"
Goregaon,1,762.0,6035366.0,28,"Gym, Security, Garden",20/03/2025
Andheri,2,628.0,7005596.0,21,Parking,2024-06-27
Navi Mumbai,1,1183.0,16555579.0,19,"Garden, Gym, Pool",02/03/2025
Worli,1,604.0,6302821.0,5,Parking,10-Apr-24
Dadar,3,1124.0,6669583.0,28,"Garden, Gym, Pool, Security",2024-09-24
Borivali,3,910.0,17056308.0,16,"Gym, Parking, Pool","November 18, 2024"
Andheri,2,,11760693.0,30,Parking,05/03/2024
Juhu,2,698.0,15345242.0,33,Parking,2025-02-20
Worli,1,1017.0,5191791.0,37,Gym,16-Jun-24
Andheri,3,757.0,15091734.0,36,"Gym, Garden, Security, Pool",25-Nov-24
Navi Mumbai,5,250.0,7304368.0,3,"Parking, Garden, Pool",2024-02-12
Bandra,1,1362.0,5896501.0,1,"Garden, Pool, Parking, Security",13-Feb-24
Borivali,2,959.0,8014741.0,11,"Garden, Parking",11/10/2024
Andheri,4,1055.0,24574969.0,34,"Garden, Security",31/01/2025
Goregaon,4,734.0,8721724.0,5,Security,12/01/2024
Thane,2,1086.0,40663215.0,7,"Pool, Garden",04/04/2024
Thane,1,1542.0,3149307.0,20,Gym,28-Oct-24
Borivali,1,642.0,4291871.0,34,"Security, Parking, Gym",2025-01-20
Navi Mumbai,3,1483.0,24022733.0,14,"Parking, Garden",09-Sep-24
Thane,2,1039.0,27934212.0,6,Pool,13-May-25
Andheri,1,595.0,6465078.0,14,"Pool, Security, Garden",2024-08-29
Juhu,3,1674.0,11311565.0,5,"Garden, Pool, Gym, Parking",2024-02-04
Dadar,1,1037.0,16639899.0,16,"Gym, Security, Parking","August 02, 2024"
Dadar,3,1136.0,9458029.0,3,"Security, Pool, Gym, Parking",02/12/2024
Worli,2,805.0,11874695.0,21,"Garden, Parking",2024-03-30
Powai,1,621.0,10924951.0,31,Security,20-Sep-24
Bandra,3,958.0,4462108.0,21,"Gym, Security, Parking",02/04/2024
Borivali,2,1453.0,8825918.0,26,"Security, Pool, Gym",13/02/2025
Worli,5,791.0,10934342.0,14,"Parking, Security",02-Apr-25
Powai,2,890.0,11546271.0,21,"Pool, Gym",2024-03-30
Navi Mumbai,2,1409.0,3842740.0,27,"Security, Gym",21/02/2025
Goregaon,3,794.0,17059475.0,37,"Parking, Pool, Gym, Garden",24/04/2024
Goregaon,2,1078.0,11730422.0,8,Garden,14/04/2024
Bandra,4,1207.0,5761845.0,33,"Garden, Security, Pool, Gym",25/01/2025
Thane,2,831.0,31942199.0,35,"Garden, Security, Parking",14/07/2024
Andheri,2,1008.0,8815739.0,8,Pool,09-Nov-24
Worli,1,1131.0,9166000.0,14,"Garden, Gym",2024-04-23
Worli,2,759.0,15950896.0,19,"Pool, Security",2025-05-07
Borivali,3,1185.0,33612235.0,7,"Security, Garden, Pool, Gym",15/03/2024
Borivali,3,708.0,16331785.0,27,Security,16/02/2025
Goregaon,2,663.0,17817041.0,18,"Garden, Gym",10/01/2025
Goregaon,2,365.0,5950744.0,15,"Parking, Pool, Gym",23-Feb-25
Juhu,3,723.0,11434845.0,10,"Security, Gym",04-Aug-24
Juhu,4,614.0,7886342.0,7,"Parking, Gym, Garden","October 03, 2024"
Thane,1,759.0,16559622.0,32,"Security, Garden",05/09/2024
Juhu,2,1114.0,17508193.0,9,"Pool, Parking","June 12, 2024"
Andheri,2,296.0,28916928.0,17,"Gym, Parking, Pool","January 28, 2025"
Andheri,4,,2972741.0,34,"Parking, Gym, Pool, Security","December 22, 2024"
Worli,1,,7434583.0,2,Gym,2025-04-01
Dadar,2,1061.0,23680189.0,39,Parking,"February 11, 2025"
Andheri,3,1001.0,4681280.0,26,"Parking, Security, Garden",10/07/2024
Powai,1,632.0,17599668.0,27,"Security, Pool, Gym, Parking",14-Aug-24
Goregaon,2,1309.0,21432099.0,5,"Parking, Gym, Garden, Pool",25/06/2024
